created_at,mentionee,mentioner,retweet,category,category_mentionee,text
2021-05-31,ChinaDaily,BeehiveChina,retweeted,Neither,Media,China's top legislature has called on governments at all levels to fully implement and popularize the law on the promotion of #ruralvitalization to drive high-quality agricultural development and ensure the well-being of rural residents. https://t.co/7zc31IVJxg
2021-05-29,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"In Friday’s World Health Organization press conference, the Executive Director of #WHO’s Health Emergencies Programme Mike Ryan said politics is getting in the way of finding the origin of the novel #coronavirus. https://t.co/h5W6TQwWAB"
2021-05-28,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"The CPC enjoys an over 90% satisfaction and support rate among the Chinese people, according to a report from Harvard University. This survey records face-to-face interview responses from more than 31,000 individuals in both urban and rural settings. #CPC100 https://t.co/QsPaYUS9b4"
2021-05-28,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"With neat rows of apartment buildings, wide, clean roads, a modern service center, schools and clinics, Houyuzi village in Linyi, Shandong province, has every basic facility for a modern life. #ProsperTogether https://t.co/3Gn6En3QTF"
2021-05-26,ChinaDaily,BeehiveChina,retweeted,Neither,Media,#HongKong experienced a #superBloodMoon during the first total #LunarEclipse in three years. #BloodMoon https://t.co/5UW0SoDgLe
2021-05-24,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"Yuan Longping, dubbed the ""father of hybrid rice"", who died from multiple organ failure on Saturday at age 91, will long be remembered for his contribution to help feed the world. On Sunday, tens of thousands of people came to say goodbye to Yuan. https://t.co/8ZZqdVvqVV https://t.co/xHrOf36zth"
2021-05-19,ChinaDaily,BeehiveChina,replied_to,Neither,Media,"@ChinaDaily But. China's Renewable Energy Tainted? Full on barrage attacking #China Solar Industry commences - We know why.  First #Bloomberg, now #CNN Baroness Kennedy IPAC https://t.co/5sx4kY8Fxo   https://t.co/p4AmjQWoju and https://t.co/AcOLkBLV6L Must watch:  https://t.co/yOZfMlyce0"
2021-05-19,ChinaDaily,BeehiveChina,replied_to,Neither,Media,"@ChinaDaily 1948 Israeli forces took control of 80% of #Palestine. #Israel military occupation of all Palestine continues since 1967, plus stolen land from Egypt and Syria 巴勒斯坦冲突的解释是：犹太复国主义者以色列生动地介绍了非法占领巴勒斯坦的情况
易于理解，历史准确 https://t.co/jaX6QRVyMt"
2021-05-19,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"State Councilor and Foreign Minister Wang Yi held separate discussions with the Afghan parties on Monday night, as Beijing stepped up its efforts to advance the peace and reconciliation process in the nation. #Afghanistan 
https://t.co/FbPg96Iov4"
2021-05-17,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"@ChinaDaily #Blinken backpedalling.. Too late mate - We all know what the agenda is, right from the start in #Alaska: https://t.co/zLufzR157y"
2021-05-16,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"The landing of China's spacecraft on the surface of #Mars is ""a great success"" of China's fundamental #space research program, said Dmitry Rogozin, head of Russia's state space corporation Roscosmos, on Saturday. https://t.co/cIWGargqKO"
2021-05-16,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"Now, there are 30 third-generation #Beidou satellites in three types of orbit — 24 in medium — Earth orbit, three in inclined geosynchronous #satellite orbit and three in geostationary orbit. https://t.co/FurswLQf6H"
2021-05-09,ChinaDaily,BeehiveChina,replied_to,Neither,Media,"@ChinaDaily #Blinken backpedalling.. Too late mate - We all know what the agenda is, right from the start in #Alaska: https://t.co/zLufzR157y"
2021-12-05,HuXijin_GT,BeehiveChina,replied_to,Neither,Media,"@HuXijin_GT #SummitforDemocracy? #Democracy: a Tale of Two Systems. 'China is a Dictatorship' they say.. Well if you accept that it is the people who dictate, then, yeah sure! Comparing US UK aggressive duopoly with #China's successful Socialist Democratic Meritocracy https://t.co/MmOn6iSKGy"
2021-11-20,HuXijin_GT,BeehiveChina,retweeted,Neither,Media,"I confirmed through my own sources today that these photos are indeed Peng Shuai's current state. In the past few days, she stayed in her own home freely and she didn't want to be disturbed. She will show up in public and participate in some activities soon. https://t.co/VGLt6qoOOh"
2021-06-28,HuXijin_GT,BeehiveChina,replied_to,Neither,Media,@HuXijin_GT @zhang_heqing And here's yet another bunch of clowns who are making yet another futile attempt t convince people 'China Bad' .. https://t.co/pCw2tqlIZF
2021-05-28,HuXijin_GT,BeehiveChina,retweeted,Neither,Media,"Such condemnation is nothing and China will ignore it. In China-US arm wrestling over Hong Kong, the US has lost. https://t.co/1qUbC6Ne80"
2022-04-10,globaltimesnews,BeehiveChina,retweeted,Neither,Media,@globaltimesnews @fchaumac_chau @_ValiantPanda_ And now Pakistan is being set up for a fall.. If it hasn't fallen already.. #Pakistan #ImranKhan Yet Another #US Instigated #Coup. (UN)Constitutional this time) A History Lesson: - Killary - #HillaryClinton #USA #CIA #ISI Pakistan: https://t.co/pHeL5EVQu0
2022-04-10,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews @fchaumac_chau @_ValiantPanda_ And now Pakistan is being set up for a fall.. If it hasn't fallen already.. #Pakistan #ImranKhan Yet Another #US Instigated #Coup. (UN)Constitutional this time) A History Lesson: - Killary - #HillaryClinton #USA #CIA #ISI Pakistan: https://t.co/pHeL5EVQu0
2022-04-10,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"@globaltimesnews @Angelo4justice3 Dark day for #Pakistan deposing #ImranKhan at the US behest. Yet Another #US Instigated #Coup. This time, an (UN)Constitutional one.. A History Lesson: - Killary - #HillaryClinton #USA #CIA #ISI Pakistan: https://t.co/pHeL5EVQu0"
2022-04-10,globaltimesnews,BeehiveChina,replied_to,Neither,Media,"@globaltimesnews @Angelo4justice3 Dark day for #Pakistan deposing #ImranKhan at the US behest. Yet Another #US Instigated #Coup. This time, an (UN)Constitutional one.. A History Lesson: - Killary - #HillaryClinton #USA #CIA #ISI Pakistan: https://t.co/pHeL5EVQu0"
2022-03-26,globaltimesnews,BeehiveChina,retweeted,Neither,Media,Hunter Biden's investment linked to #Pentagon-funded Ukrainian #biolabs engaged in dangerous and illegal research on deadly pathogens: Russian Defense Ministry https://t.co/19mdRSvox8 https://t.co/mnOmFsMeoK
2022-03-21,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"@globaltimesnews @fchaumac_chau @_ValiantPanda_ #Satire has it's uses. ""Biggest Intelligence Coup of the War"". Their words, not mine. ""Dark Secret at the heart of the Nazi State.."" #Ukraine? #Russia? Europe? US? UK? (Their words, not mine..) https://t.co/v8apK7OIkm via '#ANonnyMouse' + #BestChinaInfo https://t.co/v8apK7OIkm"
2022-03-20,globaltimesnews,BeehiveChina,replied_to,Neither,Media,"@globaltimesnews @fchaumac_chau @_ValiantPanda_ #Satire has it's uses. ""Biggest Intelligence Coup of the War"". Their words, not mine. ""Dark Secret at the heart of the Nazi State.."" #Ukraine? #Russia? Europe? US? UK? (Their words, not mine..) https://t.co/v8apK7OIkm via '#ANonnyMouse' + #BestChinaInfo https://t.co/v8apK7OIkm"
2022-01-26,globaltimesnews,BeehiveChina,retweeted,Neither,Media,@lukedepulford @globaltimesnews Your Global Times news is the important news today.  And def not that US F-35 going down in the shallow waters of the South China Sea and handing China a huge intelligence win if they salvage it first.
2022-01-06,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews #KazakhstanProtests #KazakhstanProtest - #JiCYMi: 'Protesters' #Almaty 'Clashes' #Kazakhstan being set up for a nice little #RegimeChange #VictoriaNuland visited lately by any chance? https://t.co/9UnzpmtlCE See also: #Ukraine #Euromaidan #Biden #Nuland #Pyatt
2021-12-26,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"@globaltimesnews Web Page plus Video: Detailed Analysis of EXACTLY how #US #Bloomberg #SPIN opinion of clowns like #AdrianZenz to concoct allegations of gee-no-cide.. slav.. erm.. forc.. um, coerced labour? 🤪🤡UPDATED: https://t.co/ZrHomPUAt0 https://t.co/FQx2KsASUK"
2021-12-26,globaltimesnews,BeehiveChina,retweeted,Neither,Media,@globaltimesnews #UyghurForcedLaborPreventionAct - Is a Campaign Of Unjustifiable Sanctions against #Uyghurs Livelihood! Not just #China and #Xinjiang! 'Tainted Cotton' to 'Tainted Solar Panels': Ridiculous Blarney from Bloomberg https://t.co/HPKgqgy354 https://t.co/FQx2KsASUK
2021-12-26,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews #UyghurForcedLaborPreventionAct - Is a Campaign Of Unjustifiable Sanctions against #Uyghurs Livelihood! Not just #China and #Xinjiang! 'Tainted Cotton' to 'Tainted Solar Panels': Ridiculous Blarney from Bloomberg https://t.co/HPKgqgy354 https://t.co/FQx2KsASUK
2021-12-26,globaltimesnews,BeehiveChina,replied_to,Neither,Media,"@globaltimesnews Web Page plus Video: Detailed Analysis of EXACTLY how #US #Bloomberg #SPIN opinion of clowns like #AdrianZenz to concoct allegations of gee-no-cide.. slav.. erm.. forc.. um, coerced labour? 🤪🤡UPDATED: https://t.co/ZrHomPUAt0 https://t.co/FQx2KsASUK"
2021-12-13,globaltimesnews,BeehiveChina,retweeted,Neither,Media,Monday is the anni of the Japanese invaders' occupation of Nanjing and the 8th national memorial day for the victims of the #NanjingMassacre. The Chinese national flag flies at half-mast on Monday at the Memorial Hall of the Victims of Nanjing Massacre by Japanese Invaders. https://t.co/ietWKnW2Gr
2021-11-25,globaltimesnews,BeehiveChina,retweeted,Neither,Media,China has commissioned DF-17 and DF-26 missiles in large numbers: Defense Ministry spokesperson Wu Qian https://t.co/jBvqmp7bLu
2021-09-09,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"@globaltimesnews @LiuXin_Emily @martjacques It could be seen this way.. from a soldiers' point of view, but actually the reality is that the #US UK #NATO MIC 'mission' in #Afghanistan went exactly to plan. And it still is going exactly to plan."
2021-09-09,globaltimesnews,BeehiveChina,replied_to,Neither,Media,"@globaltimesnews @LiuXin_Emily @martjacques It could be seen this way.. from a soldiers' point of view, but actually the reality is that the #US UK #NATO MIC 'mission' in #Afghanistan went exactly to plan. And it still is going exactly to plan."
2021-09-07,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"@globaltimesnews N.B. This is NOT just about one insane woman's #COVID19 hysterics: this utterly deranged person is merely a caricature of wider picture - White western elites coming to #China then abusing privilege, and the trust placed in them. https://t.co/g3wNusSwU7 https://t.co/IsxRsaHMTR"
2021-09-07,globaltimesnews,BeehiveChina,replied_to,Neither,Media,"@globaltimesnews N.B. This is NOT just about one insane woman's #COVID19 hysterics: this utterly deranged person is merely a caricature of wider picture - White western elites coming to #China then abusing privilege, and the trust placed in them. https://t.co/g3wNusSwU7 https://t.co/IsxRsaHMTR"
2021-08-13,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"A large-scale joint military drill between #China and #Russia will kick off Friday at a training base in China’s Ningxia Hui autonomous region. This drill will focus on counterterrorism and security training, and more than 10,000 troops will participate. https://t.co/IJanvzDj2O"
2021-07-29,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews See The New Atlas: https://t.co/KXqhtxW2Bn
2021-07-06,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"#China successfully launched the Fengyun-3E satellite Mon, making it the world's first meteorological satellite sent into dawn-dusk orbit. Experts hailed the launch will fill the gap in observation data, realize a full coverage of global meteorological changes. @globaltimesnews https://t.co/VH26CyIGSe"
2021-06-29,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"The US, by ""quitting groups"" and wielding sanctions &amp; military threats against others, is the biggest destroyer of world order. Its ""rule-based order"" is a US-dominant hegemonic system; many of its allies don’t agree with it: Chinese FM on Blinken’s remarks attacking China https://t.co/es5wc2KSdu"
2021-06-26,globaltimesnews,BeehiveChina,retweeted,Neither,Media,@globaltimesnews @zlj517 Here's a genuine story about 'the #China Dream' happening for real Also on https://t.co/zEJNdva4QZ https://t.co/qwHAGk4NAB
2021-06-26,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews @zlj517 Here's a genuine story about 'the #China Dream' happening for real Also on https://t.co/zEJNdva4QZ https://t.co/qwHAGk4NAB
2021-06-22,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews See also: https://t.co/BHHeVjDUE3
2021-06-21,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"Chinese fans express disappointment and call for boycott of #BillieEilish after clips surface of the US star mocking Asians and using racist slur aimed at Chinese. 
https://t.co/a9mQuaBtoQ"
2021-06-21,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews ha.
2021-06-03,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"Huawei released its self-developed #HarmonyOS 2.0 on Wednesday evening, which is expected to cover 300 million devices by year-end, including Huawei handsets. https://t.co/l9YtjrhOY4"
2021-06-02,globaltimesnews,BeehiveChina,retweeted,Neither,Media,@globaltimesnews WHO team had been to China twice. It’s about time for them to go to America. https://t.co/Bx8EApFnZ3
2021-05-28,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"#Turkey will establish a consulate general in #Chengdu of SW #China's Sichuan Province to expand diplomatic ties, Ambassador Abdulkadir Emin Önen to #China said. Aside from the Embassy in Beijing, Turkey now has consulates in Shanghai, Guangzhou, and Hong Kong. https://t.co/oorpN1mBAs"
2021-05-27,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews https://t.co/o0ChyEjoAZ
2021-05-27,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews https://t.co/ReHOW5NHzs
2021-05-27,globaltimesnews,BeehiveChina,replied_to,Neither,Media,@globaltimesnews https://t.co/vf5NeWiFrX
2021-05-27,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"The US is shaping public opinion to focus on the Wuhan laboratory, and slandering the report of the WHO expert group. The signs of political manipulation are so obvious: Editor-in-Chief Hu Xijin #HuSays https://t.co/Zejb83MdRH"
2021-05-17,globaltimesnews,BeehiveChina,retweeted,Neither,Media,"PLA Xinjiang Military Command, deployed in China’s high altitude western regions, revealed it has taken delivery of three new advanced weapon systems over the past week, including armored vehicles and artillery pieces: reports https://t.co/ozEgJy2SVY"
2021-05-07,globaltimesnews,BeehiveChina,retweeted,Neither,Media,#China has collected the new batch of medical supplies to provide to #Nepal and will send them ASAP. The Chinese govt and all sectors of society are actively donating materials to Nepal: Chinese FM https://t.co/FW6W35T5fC
2021-11-12,chenweihua,BeehiveChina,retweeted,Neither,Media,Climate leaders at COP26 https://t.co/ETW6e6L2Ey
2021-09-18,chenweihua,BeehiveChina,replied_to,Neither,Media,"@chenweihua @ptong2261 Ah Ms von der Leyen, President of European Commission, she, along with #Biden, #EU #UK US #Australia Parliaments are up to their necks in the #BillBrowder corrupt #MagnitskyAct This Corruption WILL be wielded against #China. Against everyone, in fact. See: https://t.co/JkUcIvn5Zw"
2021-09-13,chenweihua,BeehiveChina,retweeted,Neither,Media,@chenweihua #Blinken schminken. He's a #liar. An MIC puppet. Blinkers helped draft #US policy on #Afghanistan #Syria etc etc - Always pushing for more military involvement. https://t.co/GXPoaJnguB
2021-09-13,chenweihua,BeehiveChina,replied_to,Neither,Media,@chenweihua #Blinken schminken. He's a #liar. An MIC puppet. Blinkers helped draft #US policy on #Afghanistan #Syria etc etc - Always pushing for more military involvement. https://t.co/GXPoaJnguB
2021-07-06,chenweihua,BeehiveChina,retweeted,Neither,Media,@chenweihua @AleColarizi The US government has wasted trillions for nothing and the US military can't even account for tens of billions it has spent there https://t.co/6Arn1QhMhk
2021-06-17,chenweihua,BeehiveChina,retweeted,Neither,Media,@socialist_china @chenweihua Facts and figures as of May 2021. https://t.co/DMxgVja0oz
2021-05-24,chenweihua,BeehiveChina,retweeted,Neither,Media,"Hey guys let's take a moment to remember this gem from @serpentza 

@DanielDumbrill @JaYoeLife @BarrettYouTube @Maotset90278228 
@laowhy86 @Jerry_grey2002 @bayareas415 @Jingjing_Li @NathanRichHGDW @chenweihua @MadamMiaow @MaitreyaBhakal @Sabina_91521 @Mihlii1 @GundanSayer https://t.co/Kr6j1Y5LSj"
2021-10-30,zlj517,BeehiveChina,replied_to,Neither,Diplomat,"@zlj517 If you actually care about Uyghurs, Muslims, Ethnic Minorities, Xinjiang.. People! - You can Spare 9 Minutes to watch this. Everything you need to know about #Xinjiang, #Uyghurs, #Genocide Allegations and Hybrid War On #China - in 9 minutes! https://t.co/VSmK4EtNpu BestChinaInfo"
2021-10-22,zlj517,BeehiveChina,retweeted,Neither,Diplomat,@zlj517 I can testify to this. Sunbird in Guilin: male of the fork-tailed sunbird species. An evolutionary oddity - they have evolved in #China sharing traits with #hummingbirds of South America #ConvergentEvolution We have #Kestrels too here in Guilin - sure sign of healthy #environment https://t.co/xDbw809PcS
2021-10-22,zlj517,BeehiveChina,replied_to,Neither,Diplomat,@zlj517 I can testify to this. Sunbird in Guilin: male of the fork-tailed sunbird species. An evolutionary oddity - they have evolved in #China sharing traits with #hummingbirds of South America #ConvergentEvolution We have #Kestrels too here in Guilin - sure sign of healthy #environment https://t.co/xDbw809PcS
2021-10-22,zlj517,BeehiveChina,retweeted,Neither,Diplomat,#China has made inspiring progress in #biodiversity conservation. https://t.co/gtloa0QM3G
2021-10-18,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"Not only cotton! Harvest of saline-alkali resistant rice in Kashgar, #Xinjiang. The output per mu is 575.3 kg, 27.3 kg higher than that of 2020. https://t.co/Hy9tdzf7xk"
2021-10-14,zlj517,BeehiveChina,quoted,Neither,Diplomat,@zlj517 Thread: https://t.co/NrmvmWV4QO
2021-10-14,zlj517,BeehiveChina,replied_to,Neither,Diplomat,"@zlj517 That 'machine' is collapsing: Continuing Collapse of #BBC #Bloomberg #USUK #IPAC Pack of Lies and Liars on #Xinjiang #Uyghurs as their as their Nazi-affiliated #China hating stooge #AdrianZenz continues to fall https://t.co/FuqjKkTJe3 Oct 3: https://t.co/tZm3Fbgo80
Go @BhamTimes"
2021-10-12,zlj517,BeehiveChina,quoted,Neither,Diplomat,@zlj517 May the #cotton plants bloom fruitfully like never before in #Xinjiang! https://t.co/PBIZG7vXWo
2021-09-11,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"We hope the #Afghan Taliban will honor their words and fulfill  commitments made to China, make a clean break with #ETIM and other terrorist groups, and take effective measures to resolutely crack down on terrorist organizations. https://t.co/gSo1VExKmF"
2021-09-11,zlj517,BeehiveChina,replied_to,Neither,Diplomat,@zlj517 Part 2: CIA NED #ETIM Rebrand Smokescreen: (NewsWeek) Trot out the usual useful idiots bleating '#Uyghur oppression' But now attempting to use #Afghanistan as leverage in continued hybrid war against #China via @ Best China Info https://t.co/VF4dY1fzpX
2021-09-07,zlj517,BeehiveChina,retweeted,Neither,Diplomat,@zlj517 @ECCHRBerlin filed criminal complaint based on allegations. @sophieHR eager to track it🤪🤡Clowns ever check facts before opening their SorosAVAAZNED funded mouths? Here's some facts (and fantasies) about socalled forced labour in #China https://t.co/U3ftVoCLVk #Uyghurs #Xinjiang
2021-09-07,zlj517,BeehiveChina,replied_to,Neither,Diplomat,@zlj517 @ECCHRBerlin filed criminal complaint based on allegations. @sophieHR eager to track it🤪🤡Clowns ever check facts before opening their SorosAVAAZNED funded mouths? Here's some facts (and fantasies) about socalled forced labour in #China https://t.co/U3ftVoCLVk #Uyghurs #Xinjiang
2021-09-06,zlj517,BeehiveChina,retweeted,Neither,Diplomat,#DoubleStandards won't help to de-escalate tensions. https://t.co/FOzqmKv3SQ
2021-09-04,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"@zlj517 How #China ISN'T crushing #Uyghurs #Xinjiang（Part 2）中英双字：揭露BBC涉疆谎言第2集，中国... https://t.co/VSmK4EtNpu Where Did the Lies About 1 Million in Camps ACTUALLY Start? - Part 1 of 3: https://t.co/iodaqP4DRJ   
Exposing the Source. Chinese subtitles"
2021-09-04,zlj517,BeehiveChina,replied_to,Neither,Diplomat,"@zlj517 How #China ISN'T crushing #Uyghurs #Xinjiang（Part 2）中英双字：揭露BBC涉疆谎言第2集，中国... https://t.co/VSmK4EtNpu Where Did the Lies About 1 Million in Camps ACTUALLY Start? - Part 1 of 3: https://t.co/iodaqP4DRJ   
Exposing the Source. Chinese subtitles"
2021-08-24,zlj517,BeehiveChina,replied_to,Neither,Diplomat,"@zlj517 Everything you need to know about #Afghanistan, 
But didn't know what to ask, or who to believe.. https://t.co/aSObVeEwyk https://t.co/oHtcGslCr3"
2021-07-27,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"If labs are to be investigated, then the WHO experts should go to Fort Detrick. The US should act transparently &amp; responsibly as soon as possible and invite WHO experts for an inquiry into the Fort Detrick lab. Only in this way can truth be revealed to the world."
2021-07-15,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"“White Supremacy won't die until White people see it as a White issue they need to solve rather than a Black issue they need to empathize with.”
https://t.co/pB2uEoTqz4"
2021-07-06,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"This is how you gonna feel when seeing a real #China, and you're always welcome. https://t.co/yNkIX6MSkg"
2021-06-26,zlj517,BeehiveChina,retweeted,Neither,Diplomat,@globaltimesnews @zlj517 Here's a genuine story about 'the #China Dream' happening for real Also on https://t.co/zEJNdva4QZ https://t.co/qwHAGk4NAB
2021-06-26,zlj517,BeehiveChina,replied_to,Neither,Diplomat,@globaltimesnews @zlj517 Here's a genuine story about 'the #China Dream' happening for real Also on https://t.co/zEJNdva4QZ https://t.co/qwHAGk4NAB
2021-06-23,zlj517,BeehiveChina,retweeted,Neither,Diplomat,@SilingWu @insulaa_w @PandemicTruther @asatarbair @eshaLegal @captainsacks @FalunDong @CaoYi_MFA @Angelo4justice3 @zlj517 https://t.co/SBFm1xskGj
2021-06-23,zlj517,BeehiveChina,replied_to,Neither,Diplomat,@SilingWu @insulaa_w @PandemicTruther @asatarbair @eshaLegal @captainsacks @FalunDong @CaoYi_MFA @Angelo4justice3 @zlj517 https://t.co/SBFm1xskGj
2021-06-08,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"🚨#DestaGebremedhin,a BBC journalist based in Nairobi &amp; working 4 BBC Tigrinya,quit his job &amp; joined Z #TerroristTPLF remnant fighters in #Tigray.Throughout his time at @BBCAfrica,it was obvious that he was fabricating news to misinform Z public.@zlj517 @MFA_China @DrSJaishankar https://t.co/vtEDAn5wUp"
2021-06-02,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"""There was no evidence to back up the lab escape theory...The fact that President Biden says he's getting conflicting reports from his intelligence agencies, to me, suggests there is no clear evidence."" --Dominic Dwyer, WHO Australian representative in an interview with ABC News. https://t.co/axTXsY1iAQ"
2021-06-02,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"The so-called ""Uygur Tribunal"", set up by some western anti-China politicians and lawyers in collusion with the ""World Uygur Congress"", is a pseudo court. What a clumsy trick in the guise of law! The “witnesses” are just a bunch of trained and manipulated ""actors"" and ""actresses"""
2021-06-02,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"Sayragul Sauytbay never worked in any vocational education &amp; training center, and had never been detained before she illegally fled China. She is suspected of committing loan fraud. She fabricated a large number of lies to defame Xinjiang. https://t.co/L8pTEez1Og"
2021-06-02,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"Tursunay Ziawudun claimed when interviewed by BBC that she was “tortured and later gang-raped “ in vocational education &amp; training center. However, she told BuzzFeed News later that she “wasn’t beaten or abused”. Why did she change her anti-China story frequently? https://t.co/Tw3HLVfvSa"
2021-06-02,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"In order to obtain“political asylum”, Kalibinur Sidike fabricated her identity as a “teacher from concentration camps” and joined anti-China forces to spread slanders against Xinjiang. She has never worked in any vocational education &amp; training center. https://t.co/XBBRJNstZE"
2021-06-02,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"Except for the 20-day criminal detention, Mirigul Tursun was totally free during her time in China. She was never in any vocational education &amp; training center. Her stories of “being imprisoned” have different story lines. https://t.co/aVH1DzhwNu"
2021-05-28,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"Almost 150 years after the US abolished slavery, forced labor continues in the country. 
https://t.co/UfRZvie9O9"
2021-05-15,zlj517,BeehiveChina,retweeted,Neither,Diplomat,"@zlj517 @Geopol2030 What would uncle Albert say about Palestine #Israel and #zionism - if he were alive today? Nothing's changed, so.. he'd be saying the same as this I guess..
#Einstein's letter to the New York Times, 1948.. https://t.co/pvJa4IAmed"
2021-05-12,zlj517,BeehiveChina,replied_to,Neither,Diplomat,"@zlj517 @Geopol2030 What would uncle Albert say about Palestine #Israel and #zionism - if he were alive today? Nothing's changed, so.. he'd be saying the same as this I guess..
#Einstein's letter to the New York Times, 1948.. https://t.co/pvJa4IAmed"
2021-05-12,zlj517,BeehiveChina,retweeted,Neither,Diplomat,#DoubleStandards won't help to de-escalate tensions. https://t.co/FOzqmKv3SQ
2021-10-17,AmbassadeChine,BeehiveChina,retweeted,Neither,Diplomat,"@AmbassadeChine Nevertheless, #AdrianZenz' demise is inevitable, and, therefore, the collapse of the whole flimsy hose of cards built on his #data #spin is also, inevitable. 
See this #thread: https://t.co/PBIZG7vXWo"
